University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
St. John Fisher University,Rochester,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$45.000,$41.190,$14.908,$60.098,Merit,14,100%,$20.986,$37.022,$0.3m,N/A,,,,,,TBD,-,68%,,20%,-,,-,-,68%,Early Decision only,,early_admission
"St. John's College-Annapolis, MD",Annapolis,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$35.000,$40.684,$15.908,$60.592,Both,71,97%,$24.964,$33.146,$1.8m,No,,,,,,TBD,-,44%,24%,28%,-,,-,,39%,Both,,early_admission
"St. John's College-Santa Fe, NM",Santa Fe,NM,New Mexico,Private,Southwest,,Rural: Fringe,<1K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$30.000,$40.930,$16.088,$61.018,Both,47,98%,$31.310,$27.104,$1.5m,No,,,,,,TBD,-,49%,25%,34%,-,,-,,36%,Both,,early_admission
St. John's University-New York,Queens,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$25.000,$53.020,$20.530,$77.550,Both,321,66%,$36.954,$37.082,$11.9m,No,Full Tuition,International Merit Scholarship,https://www.stjohns.edu/admission/international-admission,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is needed.,$0,$24.530,Automatic consideration,80%,,13%,-,,-,,80%,Both,,early_admission
St. Lawrence University,Canton,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$25.000,$65.900,$17.000,$86.900,Both,162,83%,$48.613,$35.737,$9.3m,No,Full Tuition,International Scholarships,https://www.stlawu.edu/admissions/financial-aid-scholarships/financial-aid/financial-aid-international-students,The university offers both merit-based and need-based scholarships to international students. Consideration for merit awards is automatic upon admission. The CSS Profile is required for need-based aid.,$0,$21.000,Automatic consideration,"58,5%",,17%,-,,-,-,58%,Both,,early_admission
St. Mary's College IN,Notre Dame,IN,Indiana,Private,Midwest (Great Lakes),,Suburb: Large,1K - 9K,Women's,No,Balanced,Very High,On-campus,3-Somewhat,$30.000,$53.230,$14.260,$71.490,Both,14,100%,$43.834,$25.446,$0.6m,No,,,,,,TBD,-,"81,1%","40,7%",22%,16%,108,44,7,"81,5%",Early Decision only,,early_admission
St. Mary's College of Maryland,St. Marys City,MD,Maryland,Public,Northeast (Mid-Atlantic),,Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$35.000,$31.312,$15.244,$50.556,Merit,4,80%,$7.768,$42.216,$0.0m,N/A,$18.000,St Mary's Scholarship,https://www.smcm.edu/osfa/types/scholarships/,All students are automatically considered for merit-based scholarships upon admission based on their academic record. No separate application is required.,$13.312,$32.556,Automatic consideration,"75,4%","13,0%",19%,20%,77,10,2,58%,Both,,early_admission
St. Olaf College,Northfield,MN,Minnesota,Private,Midwest (Great Plains),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$0,$59.760,$13.630,$77.390,Both,303,100%,$61.593,$12.377,$18.7m,Yes (Need-aware),$30.000,Buntrock Scholarship,https://wp.stolaf.edu/admissions/afford/scholarships/,St. Olaf's highest academic merit award. All applicants are automatically considered based on their admission application. No separate application is required.,$29.760,$47.390,Automatic consideration,"52,1%",21%,27%,-,,-,-,"42,5%",Both,Yes,early_admission
Stanford University,Stanford,CA,California,Private,West Coast,SF/Silicon Valley,Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,$0,$65.910,$21.315,$91.225,Need,248,27%,$75.756,$10.650,$18.8m,Yes (Need-aware),,,,,,,-,4%,,81%,-,,-,-,4%,REarly Action Only,,early_admission
Stetson University,DeLand,FL,Florida,Private,Southeast,,City: Small,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,2-Slightly,$5.000,$57.410,$17.728,$79.138,Both,189,96%,$56.653,$18.597,$10.7m,No,Full ride,J Ollie Edmunds Scholarship,https://www.stetson.edu/administration/financial-aid/scholarships/j-ollie-edmunds/,"A premier, full-cost-of-attendance scholarship. Requires a separate nomination and application process. Focuses on academic excellence, leadership, and character.",$0,$4.000,Requires application,"86,4%","57,1%",9%,11%,1049,599,66,87%,Both,,early_admission
Stevens Institute of Technology,Hoboken,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$25.000,$63.462,$19.124,$86.586,Merit,88,66%,$18.858,$64.744,$1.7m,N/A,Full Tuition,Ann P. Neupauer and Global Scholarships,https://www.stevens.edu/page-basic/stevens-scholarships,The Ann P. Neupauer Scholarship is a full-tuition award for women in engineering or computer science. The Global Scholarship is for international students. Both require a separate application after admission.,$0,$23.124,Automatic consideration,"4,4%","27,4%",17%,11%,1548,424,46,43%,Both,Yes,early_admission
Stonehill College,easton,MA,Massachusetts,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,$45.000,$57.490,$16.020,$77.510,Merit,36,79%,$30.562,$42.138,$1.1m,N/A,not specified,Moreau Honors Scholarship,https://www.stonehill.edu/offices-and-services/financial-aid/undergraduate-students/how-to-apply-for-financial-aid/international-students/,"Top applicants are invited to the Moreau Honors Program, which includes a scholarship. Consideration is automatic with the admission application. Other Merit Scholarships are also awarded automatically.",,,,73%,42%,11%,-,,-,,73%,Both,,early_admission
Suffolk University,Boston,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,0-None,$55.000,$47.550,$21.326,$72.876,Merit,368,68%,$16.903,$52.039,$6.2m,N/A,not specified,,,,,,,85%,79%,14%,-,,-,,78%,Early Action Only,,early_admission
SUNY - Binghamton University,Binghamton,NY,New York,Public,Northeast (Mid-Atlantic),,Suburb: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$55.000,$30.243,$18.809,$53.052,Merit,138,24%,$5.919,$45.828,$0.8m,N/A,not specified,International Student Scholarships,https://www.binghamton.edu/financial-aid/types-of-aid/scholarships/index.html,A limited number of Merit Scholarships are awarded to international students based on academic excellence. Consideration is automatic with the admission application. No separate application needed.,,,Unclear,"37,7%","61,0%",17%,7%,1763,1075,70,26%,Early Action Only,,early_admission
SUNY - Stony Brook University,Stony Brook,NY,New York,Public,Northeast (Mid-Atlantic),New York City,Suburb: Large,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$55.000,$32.454,$18.478,$54.932,Limited,416,29%,$3.298,$48.714,$1.4m,N/A,,,,,,TBD,-,"49,0%","71,4%",14%,7%,5105,3645,259,49%,Early Action Only,,early_admission
SUNY - University at Albany,Albany,NY,New York,Public,Northeast (Mid-Atlantic),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$45.000,$30.991,$16.423,$51.414,Merit,213,56%,$7.168,$42.012,$1.5m,N/A,,,,,,TBD,-,70%,61%,13%,-,,-,-,60%,Early Action Only,,early_admission
SUNY - University at Buffalo,Buffalo,NY,New York,Public,Northeast (Mid-Atlantic),,Suburb: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$45.000,$30.571,$17.426,$51.997,Merit,496,20%,$8.830,$42.496,$4.4m,N/A,not specified,Flagship Scholarship,https://www.buffalo.edu/internationaladmissions/learn-about-ub/affordable-costs-and-funding-opportunities/scholarships-funding.html,A merit-based scholarship for international first-year students. All applicants are automatically considered upon admission. No separate application is needed.,,,Automatic consideration,"69,3%","73,6%",16%,9%,5142,3785,355,62%,Early Action Only,,early_admission
SUNY College of Environmental Science and Fo,Syracuse,NY,New York,Public,Northeast (Mid-Atlantic),,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$22.170,$18.080,$44.250,Merit,20,48%,$5.035,$37.781,$0.1m,N/A,,,,,,TBD,-,83%,81%,14%,-,,-,,72%,Early Action Only,,early_admission
Susquehanna University,Selingsgrove,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$35.000,$59.850,$16.100,$79.950,Merit,23,75%,$49.408,,$1.1m,N/A,$45.000,International Student Merit Scholarship,https://www.susqu.edu/admission-and-aid/tuition-and-financial-aid/financial-aid-options/scholarships/,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is necessary.,$14.850,$34.950,Automatic consideration,79%,38%,12%,-,,-,,72%,Both,,early_admission
Swarthmore College,Swarthmore,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$65.494,$20.308,$89.802,Both,78,34%,$77.679,$7.697,$6.1m,Yes (Need-aware),Full Tuition,McCabe Scholarship,https://www.swarthmore.edu/mccabe-scholars,"A scholarship for students from specific areas in Southeastern Pennsylvania, Delmarva Peninsula, and Montgomery County, MD. It is not an international student scholarship.",$0,$24.308,Automatic consideration,"7,0%",3%,42%,-,,-,-,"6,0%",Early Decision only,Yes,early_admission
Sweet Briar College,Sweet Briar,VA,Virginia,Private,Southeast,,Rural: Fringe,<1K,Women's,No,Arts and Sciences,Very High,On-campus,0-None,$20.000,$26.160,$15.230,$45.390,Both,41,100%,$25.824,$18.006,$1.1m,No,not specified,Presidential Scholarship,https://www.sbc.edu/financial-aid/international-students/,"A competitive, full-tuition scholarship. Requires a separate application, and finalists are invited for an interview. Other merit awards are considered automatically upon admission.",,,,72%,,17%,-,,-,,59%,Both,,early_admission
Syracuse University,Syracuse,NY,New York,Private,Northeast (Mid-Atlantic),,City: Midsize,20K+,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$25.000,$65.528,$19.188,$88.716,Merit,871,49%,$6.076,$79.429,$5.3m,N/A,Full Tuition,Full Tuition 1870 Scholarship,https://financialaid.syr.edu/scholarships/su/merit-based-scholarships-for-international-students/,The premier Merit Scholarship. A select group of top applicants are invited to apply. It is not open to all students.,$0,$23.188,Automatic consideration,"43,1%","57,3%",23%,16%,4268,2445,386,"42,0%",Early Decision only,Yes,early_admission
Temple University,Philadelphia,PA,Pennsylvania,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$20.000,$38.837,$14.744,$57.581,Merit,399,55%,$13.739,$43.157,$5.5m,N/A,Full Tuition,President's Scholar Award,https://payingforcollege.temple.edu/what-financial-aid/financial-aid-offer/scholarships/international-student-scholarships,The premier scholarship for the most accomplished applicants. Consideration is automatic with the admission application. No separate application is required.,$0,$18.744,Automatic consideration,"82,9%","62,0%",12%,8%,3024,1876,149,76%,Early Action Only,,early_admission
Texas A&M University-College Station,College Station,TX,Texas,Public,South (Central),"Houston, TX",City: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$25.000,$40.307,$13.008,$57.482,Merit,214,33%,$34.246,$23.236,$7.3m,N/A,OOS waiver,Non-Resident Tuition Waiver,https://aggie.tamu.edu/getmedia/8b433c87-e930-4502-b5e7-5876971258ca/ScholarshipHandbook2324.pdf,"Based on the PDF, international students who receive a competitive university scholarship of at least $4,000 are eligible to receive a waiver for the out-of-state portion of their tuition.",$12.413,$29.421,Automatic consideration,"63,1%","63,5%",43%,15%,1707,1084,167,63%,Early Action Only,,early_admission
Texas Christian University,Fort Worth,TX,Texas,Private,South (Central),"Dallas, TX",City: Large,10K - 20K,Coeducational,No,Professional,High,Off-campus,2-Slightly,$25.000,$61.740,$16.700,$82.440,Both,414,87%,$48.086,$27.934,$19.9m,No,Full Tuition,Chancellor's Scholars Program,https://chancellor.tcu.edu/initiatives/chancellors-scholars-program/,"TCU's most prestigious scholarship, covering full tuition. Requires a separate application and participation in an interview weekend for finalists.",$0,$20.700,By invitation only,"42,6%","26,5%",28%,32%,1028,272,86,"24,4%",Both,Yes,early_admission
The Catholic University of America,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,6-Primarily,$25.000,$58.378,$19.490,$81.868,Merit,70,97%,$41.438,$35.766,$1.6m,N/A,Full Tuition,Archdiocesan Scholarship,https://www.catholic.edu/admission/undergraduate/first-year-students/scholarships/index.html,"A full-tuition scholarship for students from a U.S. Archdiocese or Diocese. Not applicable to most international students. The top general merit award is the University Honors Scholarship, which is awarded automatically.",$0,$23.490,By invitation only,84%,46%,17%,-,,-,,84%,Both,,early_admission
The College of Idaho,Caldwell,ID,Idaho,Private,West (Rocky Mountains),,Suburb: Midsize,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,1-Historically,$55.000,$37.475,$12.235,$53.710,Both,145,100%,No data,,,,,,,,,,-,47%,,14%,-,,-,,47%,Early Action Only,,early_admission
The College of New Jersey,Ewing,NJ,New Jersey,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$45.000,$25.752,$14.976,$44.728,None,13,28%,$4.961,$37.751,$0.1m,N/A,,,,,,,,"62,1%","21,1%",22%,30%,299,63,19,"61,6%",Early Decision only,,early_admission
The College of Wooster,Wooster,OH,Ohio,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$45.000,$61.640,$14.490,$80.130,Both,271,100%,$41.883,$35.667,$11.4m,No,$39.000,Dean's Scholarship,https://wooster.edu/admissions/afford/merit-scholarships/deans-scholarship/,The top Merit Scholarship awarded by the college. All applicants are automatically considered with their application for admission. No separate application is needed.,$22.640,$41.130,Automatic consideration,"54,3%","24,2%",12%,8%,2978,721,58,38%,Both,,early_admission
The New School,New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,0-None,$85.000,$58.670,$26.940,$89.610,Merit,1.962,83%,$11.459,$78.726,,N/A,,,,,,,-,63%,60%,26%,-,,-,,63%,Early Action Only,,early_admission
Thomas Jefferson University,Philadelphia,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$55.000,$47.555,$15.834,$67.389,Merit,69,86%,$18.454,$48.325,$1.3m,N/A,,,,,,TBD,-,86%,,15%,,,,,86%,Early Action Only,,early_admission
Towson University,Towson,MD,Maryland,Public,Northeast (Mid-Atlantic),"Washington, DC",City: Small,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,0-None,$45.000,$29.820,$16.260,$50.080,Merit,77,32%,$9.784,$38.186,$0.8m,N/A,,,,,,TBD,-,"82,8%","83,6%",19%,13%,477,399,50,"72,0%",Early Action Only,,early_admission
Trinity College,Hartford,CT,Connecticut,Private,Northeast (New England),,City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$70.770,$18.890,$93.660,Merit,245,81%,$66.488,$22.922,$16.3m,Yes (Need-aware),not specified,Presidential Scholarships,https://www.trincoll.edu/admissions/finaid/international-students/,A premier Merit Scholarship. Awarded to a small number of entering first-year students. All applicants for admission are automatically considered. No separate application is required.,,,Unclear,"33,5%","22,2%",27%,8%,4011,892,68,34%,Early Decision only,Yes,early_admission
